Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
Omi,https://www.crunchbase.com/organization/omi-b0a0,,75007,"Omi creates social media and e-commerce 3d photos and videos of products. They allow marketers to model products in 3d and create realistic packshots, films, and eliminating the need for physical productions. Their platform adjusts video, photo ratios, and lengths for digital marketing allowing marketer brands to showcase their products in photorealistic video and photo packshots.",,"Apps, Information Technology, Internet, Photo Editing","Paris, Ile-de-France, France",Omi is a 3D application that offers e-commerce and social media solutions.,"3,096",2020-01-01,year,,Hugo Borensztein,Private,"3,194",,2024-06-16,2,Early Stage Venture,13000000,EUR,13913416,Series A,19000000,EUR,20261339,13000000,EUR,13913416,Series A,19000000,EUR,20261339,"Pareto Holdings, Edward Lando, Dawn Capital, Founders Future, Motier Ventures",13,"Apps, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.omi.so,https://www.linkedin.com/company/getomi,support@omi.so,11-50
Sensei,https://www.crunchbase.com/organization/sensei-3,,1250-052,"Sensei offers a scalable, seamless store-wide solution that empowers the stores of the future to be check-out and cash free. Through an integrated system of cameras and AI algorithms, Sensei enables a new era of Phygital stores able to capture in-store product data and shoppers’ activities, to offer a wealth of analytics and smooth, frictionless shopping experience.",,"Analytics, Artificial Intelligence (AI), Computer Vision, Retail, Retail Technology","Lisbon, Lisboa, Portugal","Sensei offers a scalable, seamless store-wide solution that empowers the stores of the future to be check-out and cash free.","3,539",2017-09-01,month,1,"Joana Rafael, Nuno Moutinho, Paulo Carreira, Vasco Portugal",Private,"3,649",,2024-10-22,5,Early Stage Venture,91000000,BRL,15990722,Series A,23368167,USD,23368167,91000000,BRL,15990722,Series A,23135096,USD,23135096,"Techstars, Iberis Capital, Lince Capital, Techstars Ventures, Bright Pixel (formerly Sonae IM)",15,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.sensei.tech,https://www.linkedin.com/company/sensei-tech,info@sensei.tech,11-50
RedStone,https://www.crunchbase.com/organization/redstone-1853,,,"RedStone is a quickly growing blockchain startup, building two data-focused products aimed to unlock the potential of DeFi & Web3: 1. RedStone Oracles: A new generation of blockchain oracles with a novel architecture that optimises the way data is delivered to decentralised Apps (dApps).  RedStone provides 1,100+ data feeds delivered at a few seconds refresh interval to Ethereum, Polygon, Avalanche, Arbitrum and 30+ other top chains. We support price feeds for assets such as popular & long-tail tokens, fiat currencies, commodities, stocks, NFTs floor and RedStone can deliver also other types of data i.e. transactions volume data or results of real-world events like sports games. Available feeds -> https://app.redstone.finance/ ; Sample integration on popular chains -> https://showroom.redstone.finance/ 2. Warp: A data-processing Smart Contract layer on top of the Arweave data storage chain. Warp is optimised for data-heavy use cases such as sophisticated gaming & social dApps, interactive NFTs, simple on-chain Machine Learning and other blockchain-based solutions that have not been feasible before, due to huge data processing costs on chains like Ethereum or Avalanche. Warp overview -> https://warp.cc/ ; Warp Academy -> https://academy.warp.cc/ RedStone Gitcoin grant -> https://gitcoin.co/grants/5477/redstone-new-generation-of-oracles-for-defi Warp Gitcoin grant -> https://gitcoin.co/grants/7733/warp-contracts-on-arweave-revolution-of-on-chain-",,"Blockchain, Cryptocurrency, Data Storage, Smart Contracts, Software, Web3","Warsaw, Mazowieckie, Poland","RedStone builds two products: A cross-chain data Oracles for Web3 & DeFi protocols; And Warp, data-driven Smart Contracts layer on Arweave.","3,593",2021-03-01,month,,"Alex Suvorov, Jakub Wojciechowski, Marcin Kazmierczak",Private,"3,704",,2024-07-02,4,Early Stage Venture,15000000,USD,15000000,Series A,22875000,USD,22875000,15000000,USD,15000000,Series A,22875000,USD,22875000,"Amber Group, Flowdesk, Coinbase Ventures, Arweave, Blockchain Capital",59,"Blockchain and Cryptocurrency, Financial Services, Hardware, Internet Services, Other, Payments, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://redstone.finance/,https://www.linkedin.com/company/redstone-finance/,core@redstone.finance,1-10
Hive,https://www.crunchbase.com/organization/hive-7176,,10178,"Hive stores and ships products for small and medium-sized online merchants the next day. The company's multichannel integrations, D2C and B2B orders, custom packaging, and smooth return handling will help to optimize the operations. It integrates with over fifteen delivery carriers and inventory is automatically distributed between five fulfillment centers to save money and time. Hive was founded in 2020 and is based in Berlin Germany.",,"Delivery, E-Commerce, Logistics, Shipping","Berlin, Berlin, Germany",Hive stores and ships products for small and medium-sized online merchants the next day.,"3,774",2020-01-01,year,,"Franz Purucker, Leonard von Kleist, Oskar Ziegler",Private,"3,889",,2024-06-24,6,Early Stage Venture,18200000,EUR,19463138,Series A,73981837,USD,73981837,18200000,EUR,19463138,Series A,63287805,USD,63287805,"Earlybird Venture Capital, Leblon Capital, Tiger Global Management, Activant Capital, Picus Capital",15,"Administrative Services, Commerce and Shopping, Transportation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://hive.app,https://linkedin.com/company/hive-logistics,hi@hive.app,101-250
Pliant,https://www.crunchbase.com/organization/pliant-275b,,,"Pliant is dedicated to reimagining credit cards and facilitating the growth of companies by offering an intelligent payment solution that scales with their business. Through its application and API-driven solutions, Pliant provides companies with the capability to issue both physical and virtual credit cards, automate payment procedures, monitor expenditures, and seamlessly incorporate all this data into their financial infrastructure.",,"Credit Cards, Finance, Financial Services, FinTech","Berlin, Berlin, Germany",Pliant helps companies in issuing adaptable physical and virtual credit cards tailored to their unique business requirements and processes.,"3,815",2020-01-01,year,,"Fabian Terner, Malte Rau",Private,"3,926",,2024-04-17,7,Early Stage Venture,18000000,EUR,19204445,Series A,170000000,EUR,185121779,18000000,EUR,19204445,Series A,70000000,EUR,76336142,"Molten Ventures, Commerzbank, SBI Investment, Motive Ventures, PayPal Ventures",14,"Financial Services, Lending and Investments, Payments",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.getpliant.com,https://www.linkedin.com/company/getpliant,info@getpliant.com,101-250
Tebi,https://www.crunchbase.com/organization/tebi-1bbe,,,Tebi is a software company that develops integrated management software apps and tools for hospitality and retail businesses.,,"Apps, Hospitality, Retail, Software","Amsterdam, Noord-Holland, The Netherlands",Tebi is a software company that develops integrated management software apps and tools for hospitality and retail businesses.,"3,829",2020-03-01,month,,,Private,"3,944",,2024-10-15,1,Early Stage Venture,20000000,EUR,21814390,Series A,20000000,EUR,21814390,20000000,EUR,21814390,Series A,20000000,EUR,21814390,Index Ventures,1,"Apps, Commerce and Shopping, Software, Travel and Tourism",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://tebi.co/,https://www.linkedin.com/company/tebi-co/,,11-50
Speckle,https://www.crunchbase.com/organization/speckle-ddda,,,"Speckle is open source digital infrastructure for anything designed in 3D - buildings, roads, bridges and more. It handles data connectivity between authoring applications, online collaboration and management, as well as 3DOps - automation for the built world.",,"Construction, Open Source, Software","London, England, United Kingdom",The Only Open Source Data Platform for 3D,"4,171",2020-05-01,day,,"Dimitrie Stefanescu, Matteo Cominetti",Private,"4,291",,2024-10-25,3,Early Stage Venture,12500000,USD,12500000,Series A,19000000,USD,19000000,12500000,USD,12500000,Series A,19000000,USD,19000000,"Foundamental, Addition, Matrix, Tristan Handy, Frontline Ventures",9,"Real Estate, Software",,"Europe, Middle East, and Africa (EMEA)",https://speckle.systems/,https://www.linkedin.com/company/specklesystems/,,11-50
Continuity,https://www.crunchbase.com/organization/continuity-9359,,75010,"Continuity’s SaaS platform uses Open Data and AI to detect insurance contracts that are either outdated or invalid across four product lines including Professional Indemnity, Commercial Property, Construction Workers Insurance, and Directors & Officers Liability.",,"Artificial Intelligence (AI), SaaS","Paris, Ile-de-France, France","Continuity, uses AI to help insurances improve underwriting for SME’s.","4,383",2019-01-01,year,,"Antoine Sinton, Benoit Pastorelli, Pierre Beauhaire",Private,"4,504",,2024-06-06,2,Early Stage Venture,10000000,EUR,10887316,Series A,15000000,EUR,16510563,10000000,EUR,10887316,Series A,15000000,EUR,16510563,"Bpifrance, Elaia, 115K, Kamet",4,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.continuity-tech.ai/,https://www.linkedin.com/company/continuity-tech/,contact@continuity-tech.ai,11-50
Dust,https://www.crunchbase.com/organization/dust-5f56,,,"Dust is a company that provides an AI platform for businesses to build and deploy customized virtual assistants tailored to their specific needs. The platform enables companies to keep internal content and knowledge up-to-date, enhance collaboration and onboarding across teams, and accelerate workflows in areas like marketing, sales, data analysis, and engineering. Dust's AI-powered assistants help companies leverage their existing data and expertise to drive efficiency and productivity.",,"Artificial Intelligence (AI), Natural Language Processing, Translation Service","Paris, Ile-de-France, France",Dust is a modular technology platform that builds customized AI assistance to enhance and optimize workflows.,"4,428",2023-01-01,year,,"Gabriel Hubert, Stanislas Polu",Private,"4,550",,2024-06-27,2,Early Stage Venture,15000000,EUR,16061402,Series A,20000000,EUR,21540176,15000000,EUR,16061402,Series A,20000000,EUR,21540176,"Sequoia Capital, XYZ Venture Capital, Seedcamp, AI Grant, Tiny VC",23,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://dust.tt/,https://www.linkedin.com/company/dust-tt,,1-10
Reverion,https://www.crunchbase.com/organization/reverion,Growing,,"Reverion builds reversible, carbon-negative power plants using patented technology to unlock the full potential of biogas. Their containerized, mass-manufacturable units offer revolutionary electrical efficiencies of 80% for both power generation and energy storage. This technology doubles the electricity output of conventional gas engines while reducing greenhouse gas emissions, achieving a negative CO2 balance. Reverion aims to contribute to a renewable and decarbonized future.",,"Energy, Energy Efficiency, Renewable Energy","Eresing, Bayern, Germany",Reverion develops reversible and carbon-negative power plants using patented biogas technology for renewable energy.,"4,436",2022-01-01,year,,"Felix Fischer, Jeremias Weinrich, Luis Poblotzki, Maximilian Hauck, Stephan Herrmann",Private,"4,558",,2024-09-13,5,Early Stage Venture,56000000,EUR,62089971,Series A,73997688,EUR,81384183,56000000,EUR,62089971,Series A,63000000,EUR,69402096,"Extantia Capital, European Innovation Council, Possible Ventures, Green Generation Fund, Energy Impact Partners",12,"Energy, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.reverion.de,https://www.linkedin.com/company/reverion/,info@reverion.de,51-100
KUGU,https://www.crunchbase.com/organization/kugu,,10405,"We make buildings energy-efficient and ready for a CO2-free future. With our digital and innovative solution, we create resource efficiency in buildings - and real energy savings potential for our customers. In this way, we make an important contribution to less CO2 consumption in the real estate sector.",,"Commercial Real Estate, Real Estate, Software","Berlin, Berlin, Germany",IoT enabled SaaS Platform,"4,497",2019-01-01,year,,"Christopher Gumppenberg, Leopold Kuttner",Private,"4,622",,2024-11-12,3,Early Stage Venture,8500000,EUR,9017687,Series A,8500000,EUR,9017687,8500000,EUR,9017687,Series A,8500000,EUR,9017687,"IBB Ventures, Future Energy Ventures, Wecken & Cie., Tengelmann Ventures, Gewobag",9,"Real Estate, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.kugu-home.com/home-en/,https://www.linkedin.com/company/kugu-home,info@kugu-home.com,11-50
Finmid,https://www.crunchbase.com/organization/finmid,Growing,,"Finmid is a developer of an infrastructure lending platform that helps businesses remove barriers to financing for their business customers. The platform embeds financial services in products through a single integration that is free of regulatory complexities, allowing firms to sell financial products while also serving as a loan gateway for their consumers.",,"Financial Services, FinTech, Lending, Software","Berlin, Berlin, Germany",Finmid enables software companies to integrate financial services into their product portfolio through a single API integration.,"4,638",2021-01-01,month,,"Alexander Talkanitsa, Max Schertel",Private,"4,765",,2024-04-16,3,Early Stage Venture,23000000,EUR,24428506,Series A,35600000,EUR,38864552,23000000,EUR,24428506,Series A,35600000,EUR,38864552,"Earlybird Venture Capital, Blossom Capital, Maximilian Tayenthal, Max Tayenthal",4,"Financial Services, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://finmid.com,https://www.linkedin.com/company/finmid,imprint@finmid.com,11-50
Inforcer,https://www.crunchbase.com/organization/inforcer,,,"Inforcer offers multi-tenant policy management with Microsoft 365, Azure, MEM, Intune, and Defender. Standardize 365 policies across multiple tenants with the largest coverage of policies and settings on the market. With new additions every week, your value continues to grow.",,"Cloud Management, Information Technology, Software","London, England, United Kingdom","Inforcer offers multi-tenant policy management with Microsoft 365, Azure, MEM, Intune, and Defender.","4,685",2022-06-01,day,,"Jamie Daum, Richard Thompson, Rory McInerney, William Connor",Private,"4,812",,2024-10-16,1,Early Stage Venture,19000000,USD,19000000,Series A,19000000,USD,19000000,19000000,USD,19000000,Series A,19000000,USD,19000000,Meritech Capital Partners,1,"Information Technology, Internet Services, Software",,"Europe, Middle East, and Africa (EMEA)",https://inforcer.com,https://www.linkedin.com/company/inforcer,info@inforcer.com,11-50
DeepOpinion,https://www.crunchbase.com/organization/deepopinion,Growing,6020,"DeepOpinion is a cognitive automation platform that enables businesses to automate repetitive processes involving unstructured data. It allows users to create automation workflows quickly through a no-code interface and integrates advanced AI capabilities for improved efficiency. The platform supports various industries, helping teams enhance productivity and streamline operations.",,"Artificial Intelligence (AI), Industrial Automation, Information Technology, Machine Learning, SaaS","Innsbruck, Tirol, Austria",DeepOpinion automates cognitive processes using Generative AI and no-code development.,"4,762",2020-01-01,day,,"Stefan Engl, Stefan Ramershoven",Private,"4,890",,2024-09-26,5,Early Stage Venture,11000000,EUR,12260530,Series A,15450095,EUR,17120864,11000000,EUR,12260530,Series A,13500000,EUR,15051345,"European Innovation Council, Creative Destruction Lab (CDL), Red River West, Stride.VC, Alpha Intelligence Capital",7,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Manufacturing, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://deepopinion.ai,https://www.linkedin.com/company/deepopinion-ai,,11-50
Matteco,https://www.crunchbase.com/organization/matteco,,46980,,,"Manufacturing, Product Management, Technical Support","Paterna, Comunidad Valenciana, Spain",Matteco is a materials technology company,"4,774",2023-08-01,month,,Iker Marcaide,Private,"4,903",,2024-10-23,2,Early Stage Venture,15000000,EUR,16166180,Series A,16100000,EUR,17358635,15000000,EUR,16166180,Series A,15000000,EUR,16166180,"Zubi Capital, Grupo ASV, Napali, Espana Digital",4,"Information Technology, Manufacturing, Other",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://matteco.com/,https://www.linkedin.com/company/matteco/,hello@matteco.com,11-50
Voliro,https://www.crunchbase.com/organization/voliro-airborne-robotics,,8005,"Voliro is at the forefront of mobile robotics, setting new standards in innovative solutions for work at heights. Their cutting-edge flying robots are engineered to excel in contact-based close-to-structure work, offering a level of precision and versatility previously unseen in the field.  Central to Voliro's innovation is their proprietary tiltable rotor system, which elevates conventional drones into advanced robotic platforms. These flying robots move beyond mere observation, enabling precise interaction with the environment. Voliro's unique 360° drone design allows for the inspection even on curved and sloped surfaces, distinguishing them as leaders in the market. With a focus on scalability, Voliro equips their aerial robots with a range of payloads, including various Non-Destructive Testing (NDT) sensors and Lightning Protection System (LPS) sensors. Their technology not only enhances safety but also increases efficiency, making inspections more reliable and cost-effective.",,"Aerospace, Drones, Robotics, Software","Zürich, Zurich, Switzerland",Voliro leads in aerial mobile robotics with cutting-edge technology designed for precision work at heights.,"4,858",2019-11-22,day,,"Marius Fehr, Mina Samir Kamel, Timo Müller",Private,"4,987",,2024-10-03,4,Early Stage Venture,12000000,USD,12000000,Series A,14204020,USD,14204020,12000000,USD,12000000,Series A,14173726,USD,14173726,"Venture Kick, Cherry Ventures, Zürcher Kantonal Bank, Alpana Ventures, BackBone Ventures",5,"Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.voliro.com,https://www.linkedin.com/company/voliro-ch,contact@voliro.com,11-50
Limbic,https://www.crunchbase.com/organization/limbic-aa9e,,SE3 7SG,Limbic provides psychological therapies to adults. They enable psychological therapy. They specialize in providing AI software for mental healthcare. They also provide medical devices to support referrals and clinical assessments in psychological therapy.,,"Mental Health, Software","London, England, United Kingdom",Limbic offers AI software for mental healthcare.,"5,191",2017-01-01,year,,"Ross Harper, Sebastiaan de Vries",Private,"5,327",,2024-03-05,8,Early Stage Venture,14000000,USD,14000000,Series A,14243570,USD,14243570,14000000,USD,14000000,Series A,14161702,USD,14161702,"Khosla Ventures, Gaingels, Google for Startups, 7percent Ventures, EASME - EU Executive Agency for SMEs",9,"Health Care, Software",,"Europe, Middle East, and Africa (EMEA)",https://limbic.ai,https://www.linkedin.com/company/limbic-ai,hello@limbic.ai,11-50
emma,https://www.crunchbase.com/organization/emma-4a91,,,"emma is developed to help enterprises design, manage and optimise their own virtual environments in a simple (codeless) way to reduce its operational costs and make the time-to-market shorter. The platform unites more than 140 cloud service providers giving the access to more than 80% of the World cloud capacity supported by the leading vendors applications available inside it’s own store.           DevOps-friendly and provider-agnostic (no vendor lock-ins) . emma provides the disruptive migration tools (to/from and between the clouds), AI-analytics and predictions to reduce the spendings covered with the single SLA  that eliminates the grey zones in responsibility, service management and data transmissions outside the provider’s edge.  On top of that emma has its open connectors, APIs and CLI which help to connect, provision and interact with the customer’s on-premise infrastructure",,"Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, DevOps, IaaS, IT Management, Network Security, PaaS, Software","Luxembourg, Luxembourg, Luxembourg",emma -enterprise multicloud management application,"5,478",2019-01-01,year,,Dmitry Panenkov,Private,"5,619",,2024-11-25,3,Early Stage Venture,17000000,USD,17000000,Series A,23000000,USD,23000000,17000000,USD,17000000,Series A,23000000,USD,23000000,"RTP Global, SmartFin, AltaIR Capital, CircleRock Capital, Luxembourg-City Incubator",5,"Hardware, Information Technology, Internet Services, Privacy and Security, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://emma.ms,https://linkedin.com/company/emma-cloud,info@emma.ms,11-50
Aikido Security,https://www.crunchbase.com/organization/aikido-security,Growing,9000,"Aikido Security is a developer-friendly software security platform. It scans your code, containers & cloud in 9 different ways, showing you which security issues and vulnerabilities are actually important to solve. The company's platform analyzes the source code and cloud to identify which vulnerabilities need to be addressed, aids in their rapid resolution, and speeds up triage by eliminating false positives, allowing developers to keep their product secure while providing them time to return to coding.",,"Cloud Security, Cyber Security, Software","Ghent, Oost-Vlaanderen, Belgium","Aikido Security provides a unified platform for code and cloud security, simplifying vulnerability management for developers.","5,543",2022-10-26,day,,"Felix Garriau, Roeland Delrue, Willem Delbare",Private,"5,684",,2024-05-01,3,Early Stage Venture,17000000,USD,17000000,Series A,24605638,USD,24605638,17000000,USD,17000000,Series A,24605638,USD,24605638,"Inovia Capital, Notion Capital, Singular, Christina Cacioppo, Connect Ventures",12,"Information Technology, Privacy and Security, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://aikido.dev,https://www.linkedin.com/company/aikido-security,hello@aikido.dev,51-100
Embat,https://www.crunchbase.com/organization/embat,Growing,28010,"Embat creates a cloud-based financial platform that democratizes access to vital financial data. The company's software consolidates all financial information to make treasury projections, automates financial reporting, and makes financial information instantly available, allowing financial teams, managers, entrepreneurs, and shareholders of small and medium-sized businesses to gain greater control over their treasury and financial planning.",,"Financial Services, FinTech, Software","Madrid, Madrid, Spain","Embat automates treasury with AI for accounting, payments, and cash forecasting.","5,560",2021-05-01,day,,"Antonio Berga, Carlos Garcia Serrano, Pablo Nebreda, Tomas Gil",Private,"5,702",,2024-02-27,4,Early Stage Venture,14700000,EUR,15935529,Series A,21200000,EUR,22973571,14700000,EUR,15935529,Series A,21200000,EUR,22973571,"Klarna, Pleo, iZettle, Creandum, Trade Republic",14,"Financial Services, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.embat.io,https://www.linkedin.com/company/74995575,hola@embat.io,11-50
ONUM,https://www.crunchbase.com/organization/signalit,Growing,,"At the end of 2022, we set out to build the industry’s first edge data observability platform We give customers complete control over their data by providing real-time observation and orchestration. Onum helps organizations turn the noise of their vast amounts of data into something meaningful while cutting the infrastructure they have dedicated to orchestration by up to 80%.",,"Cloud Computing, Data Management, Information Technology, Internet, Software","Madrid, Madrid, Spain","Gain control of your data with real-time observations, filtering, enrichment, and orchestration.","5,635",2022-05-01,month,,Pedro Castillo,Private,"5,779",,2024-04-10,3,Early Stage Venture,25770000,EUR,27679914,Series A,37370000,EUR,40162293,25770000,EUR,27679914,Series A,37370000,EUR,40162293,"Insight Partners, Dawn Capital, AWS Startup Loft Accelerator, Kibo Ventures",4,"Data and Analytics, Information Technology, Internet Services, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://onum.com/,https://www.linkedin.com/company/onuminc,,11-50
Griffin,https://www.crunchbase.com/organization/griffin-3,,EC2A 4NE,"Griffin is a banking-as-a-service provider that helps companies build and launch financial services products. Its platform is an OS for embedded finance, an all-in-one solution that will break down barriers to entry for fintech by reducing cost, time to market, and the hassles of securing a banking partner. The platform also enables global brands with complex payment needs to enhance the customer experience with embedded finance.",,"Banking, Finance, Financial Services, FinTech, IaaS, Internet, SaaS","London, England, United Kingdom",Griffin is a banking-as-a-service provider that helps companies build and launch financial services products.,"5,654",2017-01-01,year,,"Allen Rohner, David Jarvis",Private,"5,798",,2024-03-11,8,Early Stage Venture,19000000,GBP,24354759,Series A,65581035,USD,65581035,19000000,GBP,24354759,Series A,65581035,USD,65581035,"Bossanova Investimentos, EQT Ventures, Google for Startups, Tribe Capital, Seedcamp",30,"Financial Services, Internet Services, Lending and Investments, Software",,"Europe, Middle East, and Africa (EMEA)",https://griffin.com/,https://www.linkedin.com/company/griffin-bank,support@griffin.com,101-250
Hubcycle,https://www.crunchbase.com/organization/hub-cycle,,84911,Hubcycle provides upcycled food ingredients that are future-proof. Hubcycle creates new value chains based on side streams and everyone benefits. Hubcycle provides high-performance and sustainable ingredients that are tailored to the needs of the consumer.,,"Environmental Consulting, Professional Services, Recycling","Avignon, Provence-Alpes-Cote d'Azur, France",Hubcycle converts fruit and vegetable waste into raw materials for the hygiene and food industries.,"5,978",2016-01-01,year,,,Private,"6,140",,2024-10-28,3,Early Stage Venture,15000000,EUR,16224811,Series A,20000000,EUR,21798301,15000000,EUR,16224811,Series A,20000000,EUR,21798301,"Julien Lesage, Serge Sabrier, Laurence Chambaud, Daphni, ETF Partners",14,"Other, Professional Services, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.hubcycled.com/,https://www.linkedin.com/company/spottedbygmr,hello@spottedbygmr.com,11-50
CheKin,https://www.crunchbase.com/organization/chekin-5a93,,41011,"Chekin provides automated check-in solutions for tourist accommodations, including online registration and identity verification. The platform simplifies guest access with remote keys and manages tourist taxes seamlessly. It integrates with existing property management systems to enhance operational efficiency and guest experience.",,"Hotel, Mobile Apps, Software, Travel Accommodations, Vacation Rental","Sevilla, Andalucia, Spain","Chekin is an online tool that provides guests with registration, identity verification, tourist accommodation, and online payment services.","6,258",2019-06-01,day,,"Carlos Lagares, Gianluca Cortese",Private,"6,420",,2024-11-01,6,Early Stage Venture,2500000,USD,2500000,Series A,4205864,USD,4205864,2500000,USD,2500000,Series A,4205864,USD,4205864,"Encomenda VC, Google for Startups, JME Ventures, Faraday Venture Partners, Sabadell Venture Capital",7,"Apps, Mobile, Real Estate, Software, Travel and Tourism",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://chekin.com,https://www.linkedin.com/company/chekin,carlos@chekin.com,51-100
Robovision,https://www.crunchbase.com/organization/robovision,,9000,"Robovision serves as the adaptive engine and central platform for image-to-action AI solutions, allowing seamless AI integration into dynamic environments without the need for specialized AI expertise. It operates both in the cloud and on the edge, offering users a comprehensive control center for their AI vision technology. For customers, Robovision ensures the ability to centrally manage AI vision, significantly reduces downtime in critical automations, and facilitates global scalability of AI solutions. It also enables independence from third-party implementations for enhancements and maximizes the return on investment in AI technologies.",,"AgTech, Artificial Intelligence (AI), Computer Vision, Enterprise Software, Intelligent Systems, Machine Learning, PaaS, Robotics, SaaS, Software","Ghent, Oost-Vlaanderen, Belgium",Robovision is the adaptive engine for image-to-action AI solutions.,"6,269",2009-01-01,year,,"Jonathan Berte, Tim Waegeman",Private,"6,439",,2024-03-28,2,Early Stage Venture,42000000,USD,42000000,Series A,60744174,USD,60744174,42000000,USD,42000000,Series A,42000000,USD,42000000,"Astanor Ventures, Target Global, Red River West",3,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://robovision.ai/,https://www.linkedin.com/company/robovisionai/about/,info@robovision.eu,101-250
Midas,https://www.crunchbase.com/organization/midas-5fe5,,,"Midas is Turkey’s largest retail investing app, offering Turkish and U.S. equities at low commissions. We provide the most seamless user experience for investing in equities.",,"Financial Services, Trading Platform","Istanbul, Istanbul, Turkey","Midas is the first neobroker of Turkey, providing zero commission Turkish and American stocks.","6,314",2020-02-27,day,,"Egem Eraslan, Umut Bozkurt",Private,"6,479",,2024-04-19,3,Early Stage Venture,45000000,USD,45000000,Series A,57000000,USD,57000000,45000000,USD,45000000,Series A,57000000,USD,57000000,"International Finance Corporation, Spark Capital, Bek Ventures, Revo Capital, Portage Ventures",7,"Financial Services, Lending and Investments",,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",https://www.getmidas.com,https://www.linkedin.com/company/38112332,destek@getmidas.com,101-250
Voltfang,https://www.crunchbase.com/organization/voltfang,Growing,52070,Voltfang develops home storage solutions for private houses using recycled traction batteries. The company integrates used electric car batteries into a battery storage system and thus build up a decentralized storage network.,,"Battery, Energy Storage, Renewable Energy","Aachen, Nordrhein-Westfalen, Germany",Voltfang develops home storage solutions for private houses using recycled traction batteries.,"6,402",2021-01-01,year,,"Afshin Doostdar, David Oudsandji, Roman Alberti",Private,"6,569",,2024-10-04,7,Early Stage Venture,8000000,EUR,8821357,Series A,14050000,EUR,15498841,8000000,EUR,8821357,Series A,13250000,EUR,14616705,"Daphni, Aurum Impact, Interzero, PT1, FORWARD.one",16,"Energy, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://voltfang.de/,https://www.linkedin.com/company/43332409/admin/,david.oudsandij@voltfang.de,51-100
